part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,76,75,1,,2,0.000,1.000,226.000,1.000,D4,62,185
0,Score,76,75,2,,2,0.000,1.000,226.000,1.000,B2,47,185
0,Score,76,75,1,,3,0.000,2.000,227.000,1.000,B3,59,186
0,Score,76,75,1,,3,0.000,2.000,227.000,1.000,D4,62,186
0,Score,76,75,1,,3,0.000,2.000,227.000,1.000,G4,67,186
0,Score,76,75,2,,3,0.000,2.000,227.000,1.000,E3,52,186
0,Score,77,76,1,,1,0.000,0.000,228.000,3.000,C4,60,187
0,Score,77,76,1,,1,0.000,0.000,228.000,3.000,E4,64,187
0,Score,77,76,1,,1,0.000,0.000,228.000,3.000,A4,69,187
0,Score,77,76,1,,1,0.000,0.000,228.000,3.000,C5,72,187
0,Score,77,76,2,,1,0.000,0.000,228.000,3.000,A2,45,187
0,Score,77,76,2,,1,0.000,0.000,228.000,3.000,G3,55,187
0,Score,78,77,1,,1,0.000,0.000,231.000,3.000,D4,62,188
0,Score,78,77,1,,1,0.000,0.000,231.000,3.000,F4,65,188
0,Score,78,77,1,,1,0.000,0.000,231.000,3.000,A4,69,188
0,Score,78,77,1,,1,0.000,0.000,231.000,3.000,D5,74,188
0,Score,78,77,2,,1,0.000,0.000,231.000,3.000,D2,38,188
0,Score,78,77,2,,1,0.000,0.000,231.000,3.000,A2,45,188
0,Score,78,77,2,,1,0.000,0.000,231.000,3.000,D3,50,188
